Date,Time,Time Between Videos,Seconds,Video ID,Liked
9/1/24,21:09:54,1:04,64,7405548387321335072,1
9/1/24,21:10:58,0:17,17,7409293196968185119,0
9/1/24,21:11:15,0:23,23,7408949884243528990,0
9/1/24,21:11:38,0:03,3,7409340717182618912,0
9/1/24,21:11:41,0:30,30,7409430454287240478,1
9/1/24,21:12:11,1:21,81,7407857826418199851,0
9/1/24,21:13:32,0:10,10,7409089764214721834,0
9/1/24,21:13:42,1:17,77,7408964625238199583,1
9/1/24,21:14:59,0:04,4,7407620333173247274,0
9/1/24,21:15:03,0:25,25,7409491316163284267,1
9/1/24,21:15:28,0:01,1,7406012934826102058,0
9/1/24,21:15:29,no data,no data,7409045527049850143,1
9/2/24,22:03:40,0:08,8,7409114288092171552,0
9/2/24,22:03:48,0:04,4,7409850449639066912,0
9/2/24,22:03:52,0:01,1,7400896581865639211,0
9/2/24,22:03:53,0:01,1,7408607472878882094,0
9/2/24,22:03:54,0:01,1,7409840603564985642,0
9/2/24,22:03:55,0:03,3,7407006780229733665,0
9/2/24,22:03:58,28:18:00,no data,7401639090665344286,0
9/2/24,22:32:16,0:02,2,7409161161918254337,0
9/2/24,22:32:16,0:00,0,7409675027374689566,0
9/2/24,22:32:18,0:02,2,7408762331791920414,0
9/2/24,22:32:20,0:14,14,7409807063477538081,0
9/2/24,22:32:34,0:01,1,7391907796817661201,0
9/2/24,22:32:35,0:02,2,7409375367657426206,0
9/2/24,22:32:37,0:03,3,7409162818433518894,0
9/2/24,22:32:40,0:04,4,7408770407194496298,0
9/2/24,22:32:44,0:13,13,7409467304947289374,0
9/2/24,22:32:57,0:03,3,7410154562100841774,0
9/2/24,22:33:00,0:01,1,7397817685733657872,0
9/2/24,22:33:01,0:14,14,7408766904485088554,0
9/2/24,22:33:15,0:02,2,7409588259556232480,0
9/2/24,22:33:17,0:01,1,7409300523158899998,0
9/2/24,22:33:18,0:05,5,7389723568667364626,0
9/2/24,22:33:23,0:12,12,7409534967815949598,0
9/2/24,22:33:35,0:01,1,7392001510676172049,0
9/2/24,22:33:36,0:35,35,7409320800630607147,0
9/2/24,22:34:11,0:01,1,7410172506956369182,0
9/2/24,22:34:12,0:11,11,7408780667288440106,0
9/2/24,22:34:23,0:44,44,7408997923960212766,0
9/2/24,22:35:07,0:05,5,7408675765619035438,0
9/2/24,22:35:12,0:01,1,7409550944196709649,0
9/2/24,22:35:13,0:10,10,7385909461484899600,0
9/2/24,22:35:23,0:01,1,7409439069039791406,0
9/2/24,22:35:24,0:06,6,7409771267420638510,0
9/2/24,22:35:30,0:10,10,7408559989431848234,0
9/2/24,22:35:40,0:09,9,7409390495320984878,0
9/2/24,22:35:49,0:52,52,7383414435601288478,0
9/2/24,22:36:41,0:14,14,7408670934036466974,0
9/2/24,22:36:55,0:27,27,7408343766525840686,0
9/2/24,22:37:22,0:16,16,7408791939396488478,0
9/2/24,22:37:38,0:08,8,7409138391805185310,0
9/2/24,22:37:46,0:03,3,7408296066790985002,0
9/2/24,22:37:49,0:32,32,7383450315451927851,0
9/2/24,22:38:21,0:01,1,7408945577649638698,0
9/2/24,22:38:22,0:05,5,7407890910320561439,0
9/2/24,22:38:27,0:13,13,7409418908060372266,0
9/2/24,22:38:40,0:08,8,7407532463133625630,0
9/2/24,22:38:48,0:06,6,7408725965477580038,0
9/2/24,22:38:54,0:01,1,7389266472125680913,0
9/2/24,22:38:55,0:06,6,7403388855950396702,0
9/2/24,22:39:01,0:43,43,7409093337220795690,1
9/2/24,22:39:44,0:06,6,7409459443328355627,0
9/2/24,22:39:50,1:49,109,7407653938020764959,0
9/2/24,22:41:39,0:01,1,7405729614351437057,0
9/2/24,22:41:40,0:16,16,7403760053427227947,0
9/2/24,22:41:56,0:07,7,7409266372183674142,0
9/2/24,22:42:03,0:07,7,7409433754944720174,0
9/2/24,22:42:10,0:01,1,7408692017791814955,0
9/2/24,22:42:11,0:10,10,7408196735463509294,0
9/2/24,22:42:21,0:31,31,7379386881429163310,1
9/2/24,22:42:52,0:39,39,7409822864477523230,0
9/2/24,22:43:31,0:05,5,7404320401012165918,0
9/2/24,22:43:36,0:17,17,7389840135887637761,0
9/2/24,22:43:36,0:00,0,7404821433970461998,0
9/2/24,22:43:53,0:18,18,7408572062509403422,0
9/2/24,22:44:11,0:06,6,7408936302487457070,0
9/2/24,22:44:17,0:09,9,7403515753896430890,0
9/2/24,22:44:26,26:39:00,no data,7407472730498485534,0
9/2/24,23:11:05,0:23,23,7410157523803704622,0
9/2/24,23:11:28,0:47,47,7409030551870459137,0
9/2/24,23:11:28,0:00,0,7382275452364197150,0
9/2/24,23:12:15,0:27,27,7409324284847328555,0
9/2/24,23:12:42,0:04,4,7409372048054570283,0
9/2/24,23:12:46,0:15,15,7406347599864745247,0
9/2/24,23:13:01,0:02,2,7407824384993266990,0
9/2/24,23:13:03,0:09,9,7408121693614525728,0
9/2/24,23:13:12,0:07,7,7394028838868503840,0
9/2/24,23:13:19,0:01,1,7399756083234917664,0
9/2/24,23:13:20,0:05,5,7410171866314231071,0
9/2/24,23:13:25,0:21,21,7409674348182785310,0
9/2/24,23:13:46,0:12,12,7409780128097750318,0
9/2/24,23:13:58,0:02,2,7409024755354848542,0
9/2/24,23:14:00,0:07,7,7409372891432701215,0
9/2/24,23:14:07,0:03,3,7409362834573888799,0
9/2/24,23:14:10,0:20,20,7408038937924603166,0
9/2/24,23:14:30,0:01,1,7409489863365414186,0
9/2/24,23:14:31,0:01,1,7408596841543093535,0
9/2/24,23:14:32,0:09,9,7394953254905318689,0
9/2/24,23:14:41,0:14,14,7409448109853429038,0
9/2/24,23:14:55,0:11,11,7408890052564094226,0
9/2/24,23:15:06,0:08,8,7409394427308920106,0
9/2/24,23:15:14,0:05,5,7409447499636788523,0
9/2/24,23:15:19,0:09,9,7406032892834483473,0
9/2/24,23:15:19,0:00,0,7408530409077853473,0
9/2/24,23:15:28,0:16,16,7407766791646121236,0
9/2/24,23:15:44,0:03,3,7404123056295169311,0
9/2/24,23:15:47,0:06,6,7410119421055782174,0
9/2/24,23:15:53,0:34,34,7407908906061548843,0
9/2/24,23:16:27,0:15,15,7409755377752902919,0
9/2/24,23:16:42,0:15,15,7409395197223701790,0
9/2/24,23:16:57,0:02,2,7402362567554829598,0
9/2/24,23:16:59,0:03,3,7409545266291903750,0
9/2/24,23:17:02,0:03,3,7405340346487409951,0
9/2/24,23:17:05,0:14,14,7409291236424600862,0
9/2/24,23:17:19,0:08,8,7408605942482226463,0
9/2/24,23:17:27,0:10,10,7409150619476364586,0
9/2/24,23:17:37,0:01,1,7406428776797621520,0
9/2/24,23:17:38,0:08,8,7377443830603304238,0
9/2/24,23:17:46,0:09,9,7409483170321665310,0
9/2/24,23:17:55,0:01,1,7377479341355109674,0
9/2/24,23:17:56,0:13,13,7408621631557422366,0
9/2/24,23:18:09,0:17,17,7405383637518028063,0
9/2/24,23:18:26,0:01,1,7401062438734449937,0
9/2/24,23:18:27,0:01,1,7405322149243735339,0
9/2/24,23:18:28,0:41,41,7409123172076801311,0
9/2/24,23:19:09,0:25,25,7409936579692711200,0
9/2/24,23:19:34,0:01,1,7404958864841461009,0
9/2/24,23:19:35,0:01,1,7408951027946245419,0
9/2/24,23:19:36,0:09,9,7408659099279281439,0
9/2/24,23:19:45,0:05,5,7409823693175655710,0
9/2/24,23:19:50,0:03,3,7382662183357779233,0
9/2/24,23:19:53,0:48,48,7408667287189835050,0
9/2/24,23:20:41,0:10,10,7409512294448729375,0
9/2/24,23:20:51,0:10,10,7382489583331675400,0
9/2/24,23:21:01,0:01,1,7400476210662329601,0
9/2/24,23:21:02,0:03,3,7408195520163745057,0
9/2/24,23:21:05,0:02,2,7383217879719742762,0
9/2/24,23:21:07,0:07,7,7382755574531869985,0
9/2/24,23:21:14,0:37,37,7408708205347474730,0
9/2/24,23:21:51,0:03,3,7408621459691621675,0
9/2/24,23:21:54,0:01,1,7408961433003625770,0
9/2/24,23:21:55,0:02,2,7408386606526172447,0
9/2/24,23:21:57,0:01,1,7390088350121725201,0
9/2/24,23:21:58,0:02,2,7404989773003099422,0
9/2/24,23:22:00,0:09,9,7404226304813419806,0
9/2/24,23:22:09,0:10,10,7406332350528884011,0
9/2/24,23:22:19,0:41,41,7408612165290118433,0
9/2/24,23:23:00,0:16,16,7409550252409179422,0
9/2/24,23:23:16,0:04,4,7408745047732047150,0
9/2/24,23:23:20,0:10,10,7404961439296851205,0
9/2/24,23:23:30,0:03,3,7403519584499797291,0
9/2/24,23:23:33,0:10,10,7407495299280719150,0
9/2/24,23:23:43,0:01,1,7397187533647383839,0
9/2/24,23:23:44,0:13,13,7409115381085900075,0
9/2/24,23:23:57,0:09,9,7409415087246675246,0
9/2/24,23:24:06,0:04,4,7410146944816876846,0
9/2/24,23:24:10,0:09,9,7410188032009080107,0
9/2/24,23:24:19,0:13,13,7406463597263539502,0
9/2/24,23:24:32,0:01,1,7402336097486884097,0
9/2/24,23:24:33,0:04,4,7394765793315065120,0
9/2/24,23:24:37,0:27,27,7404982070004501803,0
9/2/24,23:25:04,0:07,7,7408935243371138346,0
9/2/24,23:25:11,0:01,1,7394989321213742379,0
9/2/24,23:25:12,0:04,4,7409872510453320991,0
9/2/24,23:25:16,0:07,7,7399319025840393503,0
9/2/24,23:25:23,0:06,6,7404839107765095722,0
9/2/24,23:25:29,0:07,7,7401087378003102993,0
9/2/24,23:25:29,0:00,0,7404383873708166443,0
9/2/24,23:25:36,0:01,1,7409788416503663903,0
9/2/24,23:25:37,0:18,18,7409072470956789034,0
9/2/24,23:25:55,0:01,1,7400164325530307856,0
9/2/24,23:25:56,0:23,23,7399084193143065899,0
9/2/24,23:26:19,0:08,8,7409013504176393502,0
9/2/24,23:26:27,0:08,8,7371512559502937361,0
9/2/24,23:26:27,0:00,0,7409380099579022634,0
9/2/24,23:26:35,0:07,7,7396166952449740062,0
9/2/24,23:26:42,0:01,1,7406745212304805121,0
9/2/24,23:26:43,0:07,7,7403940470247705898,0
9/2/24,23:26:50,0:01,1,7403556629632814378,0
9/2/24,23:26:51,0:01,1,7405300543641357585,0
9/2/24,23:26:52,0:04,4,7404351734589558047,0
9/2/24,23:26:56,0:08,8,7399102274078805278,0
9/2/24,23:27:04,0:18,18,7409515415929441567,0
9/2/24,23:27:22,0:07,7,7409696215945907502,0
9/2/24,23:27:29,0:08,8,7408781287231638827,0
9/2/24,23:27:37,0:12,12,7409499163177635114,0
9/2/24,23:27:49,0:24,24,7408663208396967198,0
9/2/24,23:28:13,0:01,1,7407810555882261777,0
9/2/24,23:28:14,0:07,7,7409468937324219690,0
9/2/24,23:28:21,0:01,1,7406210609144040750,0
9/2/24,23:28:22,0:02,2,7408190814741908766,0
9/2/24,23:28:24,0:01,1,7407587486555213086,0
9/2/24,23:28:25,no data,no data,7397120447797611809,0
9/3/24,1:20:34,0:05,5,7409438316170349866,0
9/3/24,1:20:39,0:09,9,7408997425223896366,0
9/3/24,1:20:48,0:18,18,7409656648207174942,0
9/3/24,1:21:06,0:07,7,7408943416018619678,0
9/3/24,1:21:13,0:22,22,7410060842458172703,0
9/3/24,1:21:35,0:07,7,7408722509056462122,0
9/3/24,1:21:42,0:53,53,7407426664616971552,0
9/3/24,1:22:35,0:07,7,7409849765741088031,0
9/3/24,1:22:42,0:12,12,7408810598793792776,0
9/3/24,1:22:54,0:01,1,7391907799380397313,0
9/3/24,1:22:55,0:08,8,7409335623947013407,0
9/3/24,1:23:03,0:16,16,7409754669729205535,0
9/3/24,1:23:19,0:13,13,7408898515826527518,0
9/3/24,1:23:32,0:20,20,7380561979095780624,0
9/3/24,1:23:32,0:00,0,7409326335744609567,0
9/3/24,1:23:52,0:07,7,7410157469969763626,0
9/3/24,1:23:59,0:11,11,7394987952746564895,0
9/3/24,1:24:10,0:06,6,7402355855552777504,0
9/3/24,1:24:16,0:08,8,7409414085965548831,0
9/3/24,1:24:24,0:08,8,7407499942652136747,0
9/3/24,1:24:32,0:17,17,7408975340254547243,0
9/3/24,1:24:49,0:02,2,7389731879572000046,0
9/3/24,1:24:51,0:24,24,7408353389911854367,0
9/3/24,1:25:15,0:02,2,7410069986284260654,0
9/3/24,1:25:17,0:09,9,7405354298571377950,0
9/3/24,1:25:26,0:05,5,7409016565582023941,0
9/3/24,1:25:31,0:02,2,7408907321889344798,0
9/3/24,1:25:33,0:10,10,7409339149506972933,0
9/3/24,1:25:43,0:19,19,7407566252593433862,0
9/3/24,1:26:02,0:07,7,7386301797540973867,0
9/3/24,1:26:02,0:00,0,7404263498458402054,0
9/3/24,1:26:09,0:50,50,7406719085071060270,0
9/3/24,1:26:59,0:11,11,7407256066687241502,0
9/3/24,1:27:10,0:02,2,7397386219262463240,0
9/3/24,1:27:12,0:19,19,7403897868693572910,0
9/3/24,1:27:31,0:10,10,7409336482030210336,0
9/3/24,1:27:41,0:12,12,7408923442675797278,0
9/3/24,1:27:53,0:23,23,7401119220248907038,0
9/3/24,1:28:16,0:03,3,7410198715924811039,0
9/3/24,1:28:19,0:07,7,7404562897482812718,0
9/3/24,1:28:26,0:01,1,7340430463821008130,0
9/3/24,1:28:27,0:02,2,7403919918720191787,0
9/3/24,1:28:29,0:04,4,7408587732575866142,0
9/3/24,1:28:33,1:05,65,7408999443057511726,0
9/3/24,1:29:38,0:06,6,7408336421968219435,0
9/3/24,1:29:44,0:09,9,7331200067501608235,0
9/3/24,1:29:53,0:08,8,7402404500847217951,0
9/3/24,1:30:01,0:18,18,7409009212489239854,1
9/3/24,1:30:19,0:01,1,7407520716557536529,0
9/3/24,1:30:20,0:12,12,7403809086535437611,0
9/3/24,1:30:32,0:01,1,7409777345290112262,0
