Date	Time	Video Link	
9/1/24	21:15:57	7409045527049850000	
9/1/24	21:15:12	7409491316163280000	
9/1/24	21:14:56	7408964625238190000	
9/1/24	21:11:46	7409430454287240000	left off here
9/1/24	21:10:13	7405548387321330000	
9/2/24	22:42:48	7379386881429160000	
9/2/24	22:39:27	7409093337220790000	
9/3/24	23:37:26	7406895880764160000	
9/3/24	6:30:26	7406156085863660000	
9/3/24	4:46:35	7385422622382700000	
9/3/24	4:45:07	7408948598995560000	
9/3/24	4:44:11	7408492641823850000	
9/3/24	1:30:12	7409009212489230000	
9/4/24	22:22:33	7410500310642190000	
9/4/24	22:21:22	7409345942412900000	
9/4/24	16:27:16	7410101205692710000	
9/4/24	16:24:33	7408442679111100000	
9/4/24	16:22:36	7409797968745720000	
9/4/24	16:20:21	7410452540279620000	
9/4/24	16:19:06	7409946159373970000	
9/4/24	16:18:19	7410764809911700000	
9/4/24	5:39:04	7381617170901650000	
9/4/24	3:06:36	7410407396826270000	
9/4/24	3:04:43	7410115651144120000	
9/5/24	13:51:56	7410609323107290000	
9/5/24	12:35:29	7402689298161610000	
9/5/24	4:05:00	7410589280403190000	
9/5/24	2:17:21	7403524875844930000	
9/5/24	2:15:42	7402824536263030000	
9/5/24	0:09:58	7410843729092700000	
9/6/24	22:41:57	7411580577356200000	
9/6/24	22:37:12	7410995582313040000	
9/6/24	22:29:34	7411541154048640000	
9/6/24	22:27:36	7411484157555110000	
9/6/24	22:25:26	7411174180244260000	
9/6/24	22:24:08	7410864695986370000	
9/6/24	5:05:35	7409516106362260000	
9/6/24	4:20:42	7410930078462330000	
9/7/24	18:53:26	7394856679323580000	
9/7/24	14:06:28	7407539452219830000	
9/7/24	14:04:20	7410145898153410000	
9/7/24	14:03:31	7383380500758430000	
9/7/24	13:59:35	7387771234089480000	
9/7/24	13:56:19	7411181712660490000	
9/7/24	13:51:57	7411827159993430000	
9/7/24	13:50:45	7410476110493830000	
9/7/24	13:49:30	7411591681377610000	
9/7/24	13:48:47	7411255076221680000	
9/7/24	4:05:42	7394978022400650000	
9/7/24	4:01:52	7410947275234570000	
9/7/24	3:57:28	7408965313150200000	
9/7/24	3:55:19	7411150250842270000	
9/7/24	3:52:42	7406562601485860000	
9/7/24	3:51:28	7409685180954180000	
