Date,Time,Time Between Videos,Video ID,
9/1/24,21:09:54,0:01:04,7405548387321335072,
9/1/24,21:10:58,0:00:17,7409293196968185119,
9/1/24,21:11:15,0:00:23,7408949884243528990,
9/1/24,21:11:38,0:00:03,7409340717182618912,
9/1/24,21:11:41,0:00:30,7409430454287240478,
9/1/24,21:12:11,0:01:21,7407857826418199851,
9/1/24,21:13:32,0:00:10,7409089764214721834,
9/1/24,21:13:42,0:01:17,7408964625238199583,
9/1/24,21:14:59,0:00:04,7407620333173247274,
9/1/24,21:15:03,0:00:25,7409491316163284267,
9/1/24,21:15:28,0:00:01,7406012934826102058,
9/1/24,21:15:29,,7409045527049850143,
9/2/24,22:03:40,0:00:08,7409114288092171552,
9/2/24,22:03:48,0:00:04,7409850449639066912,
9/2/24,22:03:52,0:00:01,7400896581865639211,
9/2/24,22:03:53,0:00:01,7408607472878882094,
9/2/24,22:03:54,0:00:01,7409840603564985642,
9/2/24,22:03:55,0:00:03,7407006780229733665,
9/2/24,22:03:58,0:28:18,7401639090665344286,
9/2/24,22:32:16,0:00:00,7409675027374689566,
9/2/24,22:32:16,0:00:02,7409161161918254337,
9/2/24,22:32:18,0:00:02,7408762331791920414,
9/2/24,22:32:20,0:00:14,7409807063477538081,
9/2/24,22:32:34,0:00:01,7391907796817661201,
9/2/24,22:32:35,0:00:02,7409375367657426206,
9/2/24,22:32:37,0:00:03,7409162818433518894,
9/2/24,22:32:40,0:00:04,7408770407194496298,
9/2/24,22:32:44,0:00:13,7409467304947289374,
9/2/24,22:32:57,0:00:03,7410154562100841774,
9/2/24,22:33:00,0:00:01,7397817685733657872,
9/2/24,22:33:01,0:00:14,7408766904485088554,
9/2/24,22:33:15,0:00:02,7409588259556232480,
9/2/24,22:33:17,0:00:01,7409300523158899998,
9/2/24,22:33:18,0:00:05,7389723568667364626,
9/2/24,22:33:23,0:00:12,7409534967815949598,
9/2/24,22:33:35,0:00:01,7392001510676172049,
9/2/24,22:33:36,0:00:35,7409320800630607147,
9/2/24,22:34:11,0:00:01,7410172506956369182,
9/2/24,22:34:12,0:00:11,7408780667288440106,
9/2/24,22:34:23,0:00:44,7408997923960212766,
9/2/24,22:35:07,0:00:05,7408675765619035438,
9/2/24,22:35:12,0:00:01,7409550944196709649,
9/2/24,22:35:13,0:00:10,7385909461484899600,
9/2/24,22:35:23,0:00:01,7409439069039791406,
9/2/24,22:35:24,0:00:06,7409771267420638510,
9/2/24,22:35:30,0:00:10,7408559989431848234,
9/2/24,22:35:40,0:00:09,7409390495320984878,
9/2/24,22:35:49,0:00:52,7383414435601288478,
9/2/24,22:36:41,0:00:14,7408670934036466974,
9/2/24,22:36:55,0:00:27,7408343766525840686,
9/2/24,22:37:22,0:00:16,7408791939396488478,
9/2/24,22:37:38,0:00:08,7409138391805185310,
9/2/24,22:37:46,0:00:03,7408296066790985002,
9/2/24,22:37:49,0:00:32,7383450315451927851,
9/2/24,22:38:21,0:00:01,7408945577649638698,
9/2/24,22:38:22,0:00:05,7407890910320561439,
9/2/24,22:38:27,0:00:13,7409418908060372266,
9/2/24,22:38:40,0:00:08,7407532463133625630,
9/2/24,22:38:48,0:00:06,7408725965477580038,
9/2/24,22:38:54,0:00:01,7389266472125680913,
9/2/24,22:38:55,0:00:06,7403388855950396702,
9/2/24,22:39:01,0:00:43,7409093337220795690,
9/2/24,22:39:44,0:00:06,7409459443328355627,
9/2/24,22:39:50,0:01:49,7407653938020764959,
9/2/24,22:41:39,0:00:01,7405729614351437057,
9/2/24,22:41:40,0:00:16,7403760053427227947,
9/2/24,22:41:56,0:00:07,7409266372183674142,
9/2/24,22:42:03,0:00:07,7409433754944720174,
9/2/24,22:42:10,0:00:01,7408692017791814955,
9/2/24,22:42:11,0:00:10,7408196735463509294,
9/2/24,22:42:21,0:00:31,7379386881429163310,
9/2/24,22:42:52,0:00:39,7409822864477523230,
9/2/24,22:43:31,0:00:05,7404320401012165918,
9/2/24,22:43:36,0:00:00,7404821433970461998,
9/2/24,22:43:36,0:00:17,7389840135887637761,
9/2/24,22:43:53,0:00:18,7408572062509403422,
9/2/24,22:44:11,0:00:06,7408936302487457070,
9/2/24,22:44:17,0:00:09,7403515753896430890,
9/2/24,22:44:26,0:26:39,7407472730498485534,
9/2/24,23:11:05,0:00:23,7410157523803704622,
